stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150107,RCY,IE	62.1 	75.5 	73.9 s	75.8 	77.8 	81.2 	85.5 	80 	86.8 	87.6 	86.3 	84.2 
DOM,PC,W150107,RCY,IS	: 	: 	: 	: 	0 	0 	0 	: 	: 	0.3 	0 	0 
DOM,PC,W150107,RCY,IT	58.9 	60.4 	65 	66 	68.3 	69.2 	70.9 	70.8 	70.3 	70.9 	70.8 	72.8 
DOM,PC,W150107,RCY,LI	62.6 	63.3 	61.9 	63.4 	62.1 	64.1 	64.1 	60.8 	65.1 	72.9 	70.1 	73.2 
DOM,PC,W150107,RCY,LT	31 	36 	49.9 	76.1 	66.9 	74.1 	72.2 	54.8 	60.5 	74.3 	71 	45.8 b
DOM,PC,W150107,RCY,LU	92.8 	92.1 	92.2 	92.5 	93.8 	94.4 	94.6 	94.8 	94.5 	98.2 	98.3 	98.4 
DOM,PC,W150107,RCY,LV	32.1 	35.4 	53 	44.4 	47.6 	51.6 	55.1 	55.1 	60.6 	60.5 	64 	65.5 
DOM,PC,W150107,RCY,MT	14.3 	16.6 	142.5 	8.7 	5.8 	17.2 	21.3 	49.1 	31.2 	20.3 	29.5 	28.6 
DOM,PC,W150107,RCY,NL	83.6 	85.7 	87 	91.8 	91.3 	82.8 	71.3 	79.8 	80.1 	82.7 	84.4 	86.2 
DOM,PC,W150107,RCY,NO	106.4 	99.3 	100.9 	85.7 	91.8 	87.4 	87.6 	86.2 	87.8 	86.8 	89.4 	83.5 
DOM,PC,W150107,RCY,PL	34.4 	39.7 	43.8 	41.9 	45.6 	45 	51.2 	43.6 	60.2 	57.2 	59.6 	63 
DOM,PC,W150107,RCY,PT	46 	45.9 	51.8 	55.3 	56.6 	59.7 	59.6 	55.7 	56.4 	55.2 	58.5 	49 
DOM,PC,W150107,RCY,RO	7.5 	16.6 	34.7 	48.2 	56.8 	60 	66.3 	49.2 	54.2 	41.1 	64.1 	63 
DOM,PC,W150107,RCY,SE	91.4 	94.5 	93.5 	90.4 	92.9 	91.9 	88.2 	89 	94.7 	93.6 	92.8 	93 
DOM,PC,W150107,RCY,SI	38.1 	41.8 	79.8 	52.4 	75.1 	82.3 	87.3 	85.9 	99.3 	98.5 	100.2 	98.5 
DOM,PC,W150107,RCY,SK	14.6 	55 	47.6 	51.6 	55.7 	63.9 	69.4 	72.9 	67.7 	66.2 	62.2 	68.7 
DOM,PC,W150107,RCY,UK	51.4 	55.2 	61.3 	61.7 	60.7 	63.9 	67.8 	68.3 	67.2 	65.7 	66.9 	67.6 
DOM,PC,W150199,RCY,AT	32.4 	26.8 	28.9 	26.1 	26.4 	28.7 	25.4 	24.9 	25.5 	25.9 	24.8 	25.9 
DOM,PC,W150199,RCY,BE	2.8 	3.3 	4.8 	7.4 	7.5 	9 	8.4 	6.7 	4.7 	5.5 	3.2 	6.2 
DOM,PC,W150199,RCY,BG	2.7 	4 	0 	0 	0 	0 	0 	0 	2.5 	10 	0.9 	8.4 
DOM,PC,W150199,RCY,CY	0 	0 	0.2 	0.2 	3.2 	2.6 	1.6 	3.4 	2.1 	1.1 	0.7 	0 
DOM,PC,W150199,RCY,CZ	6.2 	5.9 	8.2 	10.7 	11.8 	1.9 	14.1 	15.3 	14.1 	14.1 	16.3 	15.7 
DOM,PC,W150199,RCY,DE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,DK	0 	0 	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,EL	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,ES	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,FI	0 	0 	0 	: 	0 	0 	0 	: 	: 	: 	: 	: 
DOM,PC,W150199,RCY,FR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,HR	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,HU	5.4 	2.1 	0 	29.1 	39.6 	50.8 e	6 	24.4 	9.4 	0 	0 	0 
DOM,PC,W150199,RCY,IE	1.6 	1.5 	0.7 	24.3 	1 	0.3 	0 	0 	1.3 	0.5 	0.7 	0.5 
DOM,PC,W150199,RCY,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,LT	4.7 	3.4 	4 	2.5 	2.6 	3.1 	40.5 	74.7 	56.1 	34 	81.8 	22.9 
DOM,PC,W150199,RCY,LU	5.6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,MT	0 	44.3 	0 	0 	6.3 	8.6 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,NO	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 	4.4 
DOM,PC,W150199,RCY,PT	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DOM,PC,W150199,RCY,RO	8.6 	11.4 	27.8 	42.8 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCY,SI	8.8 	51.3 	97 	0 	11.7 	62.2 	1.9 	0.9 	18.9 	0.7 	20.2 	52.9 
DOM,PC,W150199,RCY,SK	: 	: 	: 	11.7 	2 	0 	29 	33.2 	20.5 	11.9 	15.4 	8.5 
DOM,PC,W150199,RCY,UK	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
