stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150101,RCY,EL	70 	79.5 	73.6 e	83 	94.1 	91.9 	83.6 	79.7 	79.1 	89.6 	98.5 	99.5 
DOM,PC,W150101,RCY,ES	71.4 	70 	73.4 	76.7 	76.1 	76.6 	77.8 	75 	78.2 	76.9 	79.7 	74.6 
DOM,PC,W150101,RCY,EU27_2020	75.4 s	78.3 s	81 s	83.3 s	83.8 s	82.7 s	83.5 	84 	84.1 	83.9 	85.4 	85.5 
DOM,PC,W150101,RCY,EU28	75.7 s	78.4 s	80.9 s	83.4 s	83.5 s	83 s	83.9 	84.7 	82.5 	83 	85 	84.6 
DOM,PC,W150101,RCY,FI	86.1 	87.6 	93.1 	94.7 	96.2 	96.8 	99.2 	97.6 	101.2 	111.6 	114.6 	116.1 
DOM,PC,W150101,RCY,FR	84.6 	89 	86.9 	85.6 	91.9 	88 	91.8 	95.8 	94.1 	92 	93.9 	98.4 
DOM,PC,W150101,RCY,HR	: 	: 	: 	: 	: 	: 	96.1 	88.2 	76.9 	89.4 	82.5 	83.7 
DOM,PC,W150101,RCY,HU	94.2 	86.5 	90.6 	94 	94.7 	94 	73 	78.3 	66.2 	75.8 	77 	74.5 
DOM,PC,W150101,RCY,IE	73.7 	77 	78.2 s	81.2 	84 	91.5 	83 	79.1 	79.4 	79.7 	79.2 	78.5 
DOM,PC,W150101,RCY,IS	: 	: 	: 	: 	65.3 	76.5 	62.9 	: 	: 	83.9 	83.1 	83.7 
DOM,PC,W150101,RCY,IT	66.6 	69.7 	73.8 	80.4 	78.7 	79.5 	84.5 	84.6 	78.7 	79.7 	79.7 	79.8 
DOM,PC,W150101,RCY,LI	76 	77 	76.1 	78 	75.1 	74.6 	66.2 	75.9 	76.2 	82.1 	82.6 	82.3 
DOM,PC,W150101,RCY,LT	59.5 	67.7 	73 	73.5 	83.5 	83.7 	82.4 	87.3 	89.1 	87.2 	85 	89.1 
DOM,PC,W150101,RCY,LU	71.6 	70.6 	77.6 	76.5 	76 	77.8 	76.7 	74.4 	81.6 	82.2 	82.8 	83.6 
DOM,PC,W150101,RCY,LV	58.3 	57.5 	66.1 	74.6 	74.9 	75.2 	75.3 	74.7 	81.5 	77.5 	81.1 	86.2 
DOM,PC,W150101,RCY,MT	11.2 	8.1 	29.6 	48.4 	51.4 	72.7 	77.2 	48.4 	55.5 	56.4 	59.7 	50.7 
DOM,PC,W150101,RCY,NL	94 	93.8 	96.4 	94.8 	89.9 	88.6 	88.9 	88.2 	85.9 	85.4 	85.4 	87.1 
DOM,PC,W150101,RCY,NO	83.2 	82.2 	78 	79.6 	83.2 	84.9 	81.6 	81.4 	82.9 	82.2 	83 	85 
DOM,PC,W150101,RCY,PL	51 	69.1 	67.1 	50.9 	57.1 	58.7 	53.1 	50 	72.8 	77.6 	73.8 	82.2 
DOM,PC,W150101,RCY,PT	68.2 	81.8 	87.8 	79.5 	67 	71.3 	66.1 	73.4 	69.1 	62.2 	70.1 	66.9 
DOM,PC,W150101,RCY,RO	55.7 	61.2 	61.6 	68.7 	66.8 	65.5 	69.8 	74.6 	83.4 	89.3 	92.5 	90.6 
DOM,PC,W150101,RCY,SE	72 	73.5 	74.1 	74.2 	69.6 	75.5 	76.8 	78.4 	79.3 	81.7 	81.8 	81.8 
DOM,PC,W150101,RCY,SI	66.3 	68.5 	66.4 	71.8 	74.7 	73.5 	78.7 	78.7 	80.4 	75.6 	76.6 	76.2 
DOM,PC,W150101,RCY,SK	60.8 	86.1 	53.6 	84.2 	50.8 	80.2 	84.7 	79.7 	79.9 	76.8 	78.4 	74.2 
DOM,PC,W150101,RCY,UK	78 	79.3 	79.7 	83.9 	81.9 	84.8 	86.5 	89.4 	73.1 	77.2 	82 	79 
DOM,PC,W150102,RCY,AT	35.8 	32.7 	34.9 	32.7 	34.4 	34.8 	34.7 	34.4 	33.6 	33.6 	33.6 	33.4 
DOM,PC,W150102,RCY,BE	38.6 	38.4 	39.5 	43 	41.5 	41.4 	41.5 	39 	41.8 	42.6 	43.4 	44.5 
DOM,PC,W150102,RCY,BG	20.2 	19.5 	15.6 	30 	40.9 	39.2 	40.7 	41.3 	64.1 	60.8 	52.6 	64.8 
DOM,PC,W150102,RCY,CY	14.5 	14.3 	14.8 	18.2 	27.2 	38 	44.8 	45.3 	46.6 	63.7 	62.3 	65 
DOM,PC,W150102,RCY,CZ	44.3 	45.5 	50.2 	52.5 	54 	57 	58.2 	59.7 	58.2 	61.7 	59.2 	58.9 
DOM,PC,W150102,RCY,DE	38.1 	40.7 	44.7 	46.5 	45.1 	46.3 	47 	46.8 	47.3 	47.4 	48.4 	48 
DOM,PC,W150102,RCY,DK	20.3 	21.8 	25.4 	26.4 	26.4 e	22.3 b	25.9 	29.1 	30.7 	30.5 	36.1 	41.8 
DOM,PC,W150102,RCY,EE	33.7 	38.2 	22 	22.7 	33.4 	39.6 e	29.8 	28.1 	29.3 	27.8 	24.6 	26.5 
DOM,PC,W150102,RCY,EL	10 	13.7 	11.9 	26.7 	30.1 	33 	32.2 	32.3 	32.8 	36.8 	38.2 	41.4 
DOM,PC,W150102,RCY,ES	22.4 	23.3 	24.4 	26.6 	29.2 	32.4 	35.1 	40.7 	42.5 	44 	45.5 	47.9 
DOM,PC,W150102,RCY,EU27_2020	27.1 s	28.6 s	30.9 s	33.5 s	34.1 s	35.6 s	37 	37.5 	39 	40 	42 	41.2 
DOM,PC,W150102,RCY,EU28	26.4 s	27.7 s	29.8 s	31.9 s	32.5 s	33.7 s	35 	36.6 	38.9 	39.9 	42.4 	41.9 
DOM,PC,W150102,RCY,FI	15.9 	18.4 	22.7 	25.3 	26.2 	25.4 	25.4 	22.7 	24.6 	23.7 	25.4 	26.5 
DOM,PC,W150102,RCY,FR	19 	21.1 	22.5 	25 	23.7 	23.3 	25.1 	25.6 	25.2 	25.5 	25.8 	26.5 
DOM,PC,W150102,RCY,HR	: 	: 	: 	: 	: 	: 	45.4 	45.3 	37.7 	46.3 	41.1 	37.3 
DOM,PC,W150102,RCY,HU	20.4 	17 	25.1 	24.5 	32.5 	22.4 	27.8 	30.8 	36.8 	27.4 	31.4 	32 
DOM,PC,W150102,RCY,IE	20.1 	22.2 	28.9 s	36.2 	39.4 	47.5 	38.2 	34.8 	31.3 	29.7 	31.2 	30.5 
DOM,PC,W150102,RCY,IS	: 	: 	: 	: 	33.3 	43.5 	42.7 	: 	: 	37.2 	42.7 	29.7 
DOM,PC,W150102,RCY,IT	27.4 	28.3 	31.1 	33.5 	34.5 	36.1 	37.5 	36.8 	38 	41.1 	42.4 	41.8 
