stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W1501,RCV,NL	91 	93.5 	95.1 	96.9 	96.8 	95.2 	92.7 	94.2 	94.2 	95 	94.7 	95.5 
DOM,PC,W1501,RCV,NO	89 	89.9 	82.5 	80.9 	88.8 	88.1 	92.7 	93.2 	96.7 	95.5 	: 	: 
DOM,PC,W1501,RCV,PL	47.9 	60 	50.6 	50.3 	53.7 	55.9 	57.1 	50.4 	60 	60.9 	61.7 	60.8 
DOM,PC,W1501,RCV,PT	55.9 	59.1 	66 	65.8 	61.3 	62.9 	59.9 	64.8 	64.1 	60.2 	64 	65.5 b
DOM,PC,W1501,RCV,RO	35.7 	36.6 	40.7 	46.7 	48.3 	54.4 	57.4 	54.5 	56.4 	56.9 	62.3 	62.9 
DOM,PC,W1501,RCV,SE	80.8 	81.5 	79.8 	77 	97.6 	100.8 	98 	78.2 	77.9 	79.5 	71 	72.5 
DOM,PC,W1501,RCV,SI	46.4 	53 	57.9 	53.4 	65.8 	70.5 	78 	92.5 	88.1 	77.4 	80.9 	75.3 
DOM,PC,W1501,RCV,SK	39.3 	67.4 	50 	63.2 	47.5 	65 	70 	69.5 	68 	66.7 	69.5 	68.6 
DOM,PC,W1501,RCV,UK	62.1 	63.8 	65.5 	66.7 	67.3 	67.1 	69.1 	72.7 	64.1 	64.7 	71.4 	70 
DOM,PC,W150101,RCV,AT	95.1 	94.8 	97 	98.5 	96.9 	96.9 	97 	97.6 	97.7 	97.7 	97.7 	97.5 
DOM,PC,W150101,RCV,BE	95.3 	97.1 	95.7 	95.1 	96 	96.8 	96.8 	96.7 	99.4 	99.6 	100 	100 
DOM,PC,W150101,RCV,BG	51.8 	97.8 	84.9 	67.3 	82 	98.2 	94.3 	88.8 	70.3 	78.7 	80.1 	79.8 
DOM,PC,W150101,RCV,CY	38 	39.2 	60 	78.9 	83.5 	88.4 	88.9 	97.3 	96.8 	96.6 	99.7 	93.3 
DOM,PC,W150101,RCV,CZ	96.2 	99.2 	98.7 	98.9 	99 	95.3 	89.1 	91.7 	93.2 	94.5 	97.4 	94.5 
DOM,PC,W150101,RCV,DE	95.5 	98.4 	98.8 	99 	98.7 	99.8 	99.8 	99.9 	99.8 	99.7 	99.8 	99.7 
DOM,PC,W150101,RCV,DK	99.6 	99.6 	99.6 	99.9 	99.9 e	99.6 b	99.8 	99.9 	105.7 	100 	100 	99.8 
DOM,PC,W150101,RCV,EE	55.2 	57 	65.2 	69.1 	84.6 	81.8 	81.3 	88.9 	90.6 	91.4 	96.1 	93.4 
DOM,PC,W150101,RCV,EL	70 	79.5 	73.6 e	83 	94.1 	91.9 	83.6 	79.9 	79.1 	89.7 	99.3 	101.9 
DOM,PC,W150101,RCV,ES	77.4 	74.9 	78.3 	82.1 	81.6 	82.2 	83.2 	79.3 	83.1 	77.6 	83.8 	78.2 
DOM,PC,W150101,RCV,EU27_2020	84.9 s	88.2 s	89.1 s	90.5 s	90.7 s	90.9 s	92 	91.6 	92 	91.9 	92.6 	92.8 
DOM,PC,W150101,RCV,EU28	85 s	88 s	88.8 s	90.7 s	91 s	91.5 s	92.9 	92.9 	90.3 	90.7 	92.5 	92.2 
DOM,PC,W150101,RCV,FI	95.8 	95.5 	106.3 	112.6 	111.8 	106 	114.2 	113 	120.9 	131.6 	134.6 	142.3 
DOM,PC,W150101,RCV,FR	94.1 	96.9 	96.3 	95.5 	95.8 	93.9 	96 	97.9 	97.1 	96.1 	96.9 	99.3 
DOM,PC,W150101,RCV,HR	: 	: 	: 	: 	: 	: 	96.1 	88.2 	76.9 	89.4 	82.5 	83.7 
DOM,PC,W150101,RCV,HU	99 	92.1 	96.2 	94.3 	95.6 	95.3 	82 	87 	74.5 	86.2 	87.4 	84.5 
DOM,PC,W150101,RCV,IE	74.4 	77 	78.2 s	81.2 	84 	91.5 	91.4 	92.8 	97.4 	99.3 	94.5 	90.6 
DOM,PC,W150101,RCV,IS	: 	: 	: 	: 	65.8 	85 	64.9 	: 	: 	83.9 	83.1 	83.7 
DOM,PC,W150101,RCV,IT	75.7 	77.8 	81.7 	88.4 	87.1 	87.5 	91.9 	91.8 	87.3 	88.7 	88.2 	87.7 
DOM,PC,W150101,RCV,LI	100 	100 	100 	100 	100 	100 	100.1 	100 	100 	100 	100 	100 
DOM,PC,W150101,RCV,LT	59.5 	67.7 	73 	73.5 	83.5 	83.7 	82.4 	87.3 	89.1 	87.2 	85 	89.1 
DOM,PC,W150101,RCV,LU	96.7 	95.5 	98.3 	94.3 	92.7 	94.8 	94.8 	94.5 	96.1 	99 	99.1 	99.1 
DOM,PC,W150101,RCV,LV	61.5 	57.5 	66.5 	74.6 	75 	75.3 	75.9 	75.4 	82.2 	78.9 	83.6 	86.9 
DOM,PC,W150101,RCV,MT	11.2 	8.1 	29.6 	49.8 	51.8 	73.1 	77.5 	48.5 	55.6 	56.5 	59.8 	50.7 
DOM,PC,W150101,RCV,NL	98.8 	99.7 	100.2 	100 	99.7 	99.5 	99.6 	99.4 	99.3 	99 	98.5 	98.7 
DOM,PC,W150101,RCV,NO	93.2 	93.3 	92 	94.4 	96.9 	98.6 	98.6 	98.8 	99.3 	99.9 	100.8 	93.2 
DOM,PC,W150101,RCV,PL	52 	75 	69.6 	56.8 	71.8 	69 	73.7 	63.3 	76.4 	80.4 	76.4 	86.1 
DOM,PC,W150101,RCV,PT	73.4 	84 	94.4 	87.3 	73.7 	75.2 	68.2 	75.7 	71.6 	64.7 	72.8 	76.3 b
DOM,PC,W150101,RCV,RO	67.8 	69.9 	68.8 	73.3 	73.2 	68 	70.2 	76.9 	83.8 	89.6 	93.2 	93 
DOM,PC,W150101,RCV,SE	72 	73.5 	74.1 	74.2 	69.6 	75.5 	76.8 	78.4 	79.3 	81.7 	81.8 	81.8 
DOM,PC,W150101,RCV,SI	66.4 	74.3 	66.4 	72.1 	75.3 	77 	80.9 	82.2 	82 	79.2 	82.2 	77.4 
DOM,PC,W150101,RCV,SK	63.3 	97 	56.3 	89.3 	52.7 	81.8 	85.4 	81 	80.5 	77.3 	78.8 	75.3 
DOM,PC,W150101,RCV,UK	85.6 	86.8 	86.4 	92.5 	93.4 	95.6 	99.3 	102.4 	80.2 	83.2 	91.6 	87.9 
DOM,PC,W150102,RCV,AT	90.7 	95.3 	97.3 	96.9 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150102,RCV,BE	85.2 	85.9 	86.3 	87.5 	87.8 	92.3 	92.7 	91.3 	98.3 	98.3 	99.5 	99 
DOM,PC,W150102,RCV,BG	20.2 	19.5 	15.6 	30 	41.6 	39.8 	44.1 	41.4 	64.1 	60.8 	52.6 	65.4 
DOM,PC,W150102,RCV,CY	14.5 	14.3 	14.8 	18.2 	27.3 	38.1 	44.8 	45.3 	46.6 	63.8 	74.3 	76 
DOM,PC,W150102,RCV,CZ	56.9 	57.4 	69.3 	71 	76.7 	70.7 	67.3 	71.5 	72.9 	74.7 	72 	72.7 
DOM,PC,W150102,RCV,DE	81.7 	95.3 	96.3 	96.8 	97.2 	99.5 	99.7 	99.9 	99.8 	99.8 	99.8 	99.8 
DOM,PC,W150102,RCV,DK	97.6 	97.7 	97.8 	97.8 	97.8 e	97.7 b	99.4 	97.9 	98.2 	97.9 	98.1 	98.3 
DOM,PC,W150102,RCV,EE	33.7 	38.3 	22.5 	27.5 	42.6 	47.5 	44 	70.3 	75.9 	76.4 	85.8 	79.6 
DOM,PC,W150102,RCV,EL	10 	13.7 	11.9 	26.7 	30.1 	33 	32.2 	32.3 	32.8 	37.1 	40.2 	48.1 
DOM,PC,W150102,RCV,ES	39.7 	38.1 	40 	43.7 	51.1 	55.5 	53.2 	58.5 	59 	61.1 	61.8 	64 
DOM,PC,W150102,RCV,EU27_2020	55.5 s	60.5 s	62 s	65.1 s	67.7 s	69 s	70.9 	72 	74.1 	75.2 	76.9 	77.1 
DOM,PC,W150102,RCV,EU28	52.1 s	56.4 s	57.5 s	59.7 s	62.3 s	63.4 s	65.4 	68.1 	70.3 	71.3 	74.3 	74.6 
DOM,PC,W150102,RCV,FI	28.6 	43 	48.8 	45.3 	45.2 	46.8 	51 	54.1 	68.3 	88.9 	97.2 	98 
DOM,PC,W150102,RCV,FR	52.1 	53.4 	57 	58.1 	61.2 	61 	64 	64.2 	64 	64.3 	64.5 	69.8 
DOM,PC,W150102,RCV,HR	: 	: 	: 	: 	: 	: 	45.4 	45.3 	38 	46.3 	41.1 	37.3 
DOM,PC,W150102,RCV,HU	21.4 	43.8 	42.4 	39.7 	44.8 	49.1 	55.1 	55.5 	49.9 	42 	53.9 	56.7 
DOM,PC,W150102,RCV,IE	20.7 	22.2 	28.9 s	36.2 	39.4 	47.5 	74.3 	84.1 	83.2 	84.1 	79.7 	77.7 
DOM,PC,W150102,RCV,IS	: 	: 	: 	: 	38 	58.8 	54.4 	: 	: 	37.5 	47.1 	30.7 
DOM,PC,W150102,RCV,IT	56.7 	58.5 	61.2 	66.6 	70.4 	68 	71.8 	73.6 	78.9 	82 	83.9 	81.8 
DOM,PC,W150102,RCV,LI	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150102,RCV,LT	26.7 	28.5 	32.6 	35.9 	38.4 	38.9 	38.9 	42.9 	51.2 	54.8 	74.4 	75.7 
DOM,PC,W150102,RCV,LU	89.6 	90.1 	91.7 	86 	83 	87.2 	87.9 	86.9 	86.5 	95 	95.3 	95.4 
DOM,PC,W150102,RCV,LV	27.8 	22.8 	28.8 	32.7 	34.4 	35 	38.7 	36 	39 	39.2 	41.8 	41.2 
DOM,PC,W150102,RCV,MT	7.4 	10.6 	14 	52.1 	22.5 	29.6 	33.3 	23 	33.6 	28.8 	23.7 	19.2 
DOM,PC,W150102,RCV,NL	89.8 	93.1 	95.5 	99.2 	98.6 	98.2 	98.1 	97.6 	97.9 	96.9 	95.8 	96 
DOM,PC,W150102,RCV,NO	77.9 	84.5 	85.2 	79.3 	88.4 	91.2 	92.8 	92.4 	99.9 	98.6 	97.8 	66.5 
DOM,PC,W150102,RCV,PL	27.2 	46.5 	31.7 	39.2 	29.3 	25.9 	26.2 	20.8 	35.8 	39.7 	54.8 	46 
DOM,PC,W150102,RCV,PT	23.9 	22.6 	29 	36.2 	36.9 	38.1 	39.4 	45 	48.5 	51.3 	49.9 	60.2 b
DOM,PC,W150102,RCV,RO	24.8 	21.2 	20.5 	28.5 	30.9 	43.2 	51.9 	54.5 	46.1 	47.5 	49.9 	51.7 
DOM,PC,W150102,RCV,SE	82.2 	78.3 	63 	41.5 	48.2 	58.2 	58.1 	57 	56.8 	59.4 	61.7 	49.2 
DOM,PC,W150102,RCV,SI	38.7 	51 	55.9 	42.2 	70.7 	81.9 	96.5 	127.8 	105.3 	79.3 	82.9 	71.7 
DOM,PC,W150102,RCV,SK	45.1 	45 	46.2 	51.4 	46 	53.7 	61.2 	61.7 	61.4 	61 	58 	60.9 
DOM,PC,W150102,RCV,UK	31.1 	31.5 	31.5 	32.9 	35.8 	35.1 	38.1 	46.5 	48.1 	47.9 	58.5 	58.6 
DOM,PC,W150103,RCV,AT	53.2 	70.7 	78.4 	87.9 	88.5 	100 	100 	100 	100 	100 	91.2 	91.9 
DOM,PC,W150103,RCV,BE	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150103,RCV,BG	0.2 	0 	45.4 	45.5 	55.4 	44.9 	53.1 	61.7 	37.8 	32.7 	39 	32 
DOM,PC,W150103,RCV,CY	23.1 	23.2 	17.7 	28 	9.2 	10.4 	10.8 	12.3 	11.9 	10.5 	10.9 	9 
DOM,PC,W150103,RCV,CZ	26.5 	44.2 	36.7 	40 	41.8 	32.8 	30.3 	41.3 	71 	73 	67.3 	54.6 
DOM,PC,W150103,RCV,DE	82.2 	97.3 	96.9 	97.1 	96.5 	99 	99.5 	99.7 	99.8 	99.9 	99.7 	99.7 
DOM,PC,W150103,RCV,DK	52.7 	51.5 	63.7 	141.5 	141.5 e	50.3 	54.5 	82.6 	65.4 	94.6 	98.3 	66.8 
DOM,PC,W150103,RCV,EE	75.4 	66.7 	86.2 	85.7 	98.6 	89.5 	78.8 	105 	94.1 	92.9 	88 	93.6 
DOM,PC,W150103,RCV,EL	58.3 	75 	30.8 	37.3 	53.2 	65.9 	41.8 	8.5 	25.3 	25.6 	25.9 	24.5 
DOM,PC,W150103,RCV,ES	55.5 	67 	68.2 	75.2 	73.8 	62.6 	65.4 	74.2 	75 	76 	78.3 	78.4 
DOM,PC,W150103,RCV,EU27_2020	60.1 s	66.6 s	61.6 s	62.2 s	66.9 s	70 s	70.4 	68.1 	68.2 	69.8 	67.9 	66.9 
DOM,PC,W150103,RCV,EU28	61.3 s	67.5 s	62.9 s	63.5 s	67.6 s	69 s	68.8 	65.8 	64.4 	65.8 	64.4 	63.6 
DOM,PC,W150103,RCV,FI	81.4 	90 	98.8 	96.1 	84.4 	96.9 	100.2 	99.8 	97.8 	85.1 	98.9 	98 
DOM,PC,W150103,RCV,FR	23.1 	33.1 	25.5 	19.9 	27.9 	34 	38.6 	38.3 	37.5 	41.3 	38.4 	39.8 
DOM,PC,W150103,RCV,HR	: 	: 	: 	: 	: 	: 	0.4 	1.9 	0.4 	3.1 	3 	2.9 
DOM,PC,W150103,RCV,HU	22.1 	20.3 	22.9 	24.4 	35.9 	36 	23.7 	13.7 	19.1 	21.3 	21.6 	25.1 
DOM,PC,W150103,RCV,IE	97.8 	98.8 	98.9 s	99 	99.2 	99 	99.3 	99.2 	99 	98.3 	98.2 	98.5 
DOM,PC,W150103,RCV,IS	: 	: 	: 	: 	34.3 	64.8 	50.9 	: 	: 	63.6 	64 	68.7 
DOM,PC,W150103,RCV,IT	60.6 	60.8 	55.7 	60.6 	61.9 	58.8 	57.3 	58.8 	62.3 	63.3 	62.9 	62.8 
DOM,PC,W150103,RCV,LI	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150103,RCV,LT	26.9 	38.1 	46.2 	43.3 	49 	50.7 	50.3 	21.7 	28.1 	26.2 	48.7 	60.5 
DOM,PC,W150103,RCV,LU	98.9 	98.3 	97.9 	98.7 	98.6 	99.1 	99.4 	99.3 	99 	99.7 	99.8 	99.8 
DOM,PC,W150103,RCV,LV	52.1 	29.4 	41.5 	39.9 	38.3 	37.5 	39 	40.7 	42.3 	62.2 	43.1 	42.7 
DOM,PC,W150103,RCV,MT	12.7 	4.2 	0.7 	2 	2.8 	2.8 	1.7 	1.9 	6.6 	3.4 	0 	0 
DOM,PC,W150103,RCV,NL	87.8 	93.8 	98 	99.8 	99.3 	99 	98.6 	97.6 	97.7 	97.3 	96.4 	98.9 
DOM,PC,W150103,RCV,NO	: 	: 	58.6 	58.9 	78.6 	70.1 	85.2 	93.8 	99.2 	94 	92.7 	51.3 
DOM,PC,W150103,RCV,PL	90.6 	78.1 	49.9 	59.4 	57.1 	72.7 	66.3 	64.2 	55.4 	54.4 	47.4 	36.1 
DOM,PC,W150103,RCV,PT	80 	72.8 	68.2 	70.3 	70.8 	78.4 	70.2 	100.9 	132 	86.9 	103.8 	91.8 b
DOM,PC,W150103,RCV,RO	12.1 	18.8 	27.7 	32.3 	29.3 	45.2 	42.8 	29.7 	31.3 	31.5 	31.5 	33.3 
DOM,PC,W150103,RCV,SE	99.5 	99.7 	99.9 	100 	1005.5 	798.8 	466.5 	171 	101 	99.3 	35.3 b	54.4 b
DOM,PC,W150103,RCV,SI	39.3 	36.3 	38.9 	37.1 	41.4 	40.9 	55 	48.2 	64.6 	59.5 	59.1 	49.5 
DOM,PC,W150103,RCV,SK	10.5 	20.7 	24.7 	17.3 	14.6 	30.2 	40.6 	47.2 	44.8 	47.7 	57.8 	48.8 
DOM,PC,W150103,RCV,UK	72.8 	76.5 	76.5 	76.9 	75.4 	58.7 	51.3 	42.3 	31.4 	28.6 	31 	30.8 
DOM,PC,W150104,RCV,AT	59.6 	67.1 	63.9 	61.4 	60.6 	62.1 	61.4 	87.5 	87 	87.2 	88.3 	85.6 
DOM,PC,W150104,RCV,BE	93.2 	91.4 	94 	95.4 	94.7 	97.4 	97.3 	97 	98.2 	98.1 	98.3 	98.5 
DOM,PC,W150104,RCV,BG	6.2 	0.2 	65.1 	50.5 	51.1 	69.9 	75.6 	69.8 	67.1 	69.2 	59.4 	73.4 
DOM,PC,W150104,RCV,CY	73.8 	70.1 	94.9 	98 	116.7 	88.8 	98.7 	70.7 	97.4 	72.3 	84.1 	119.8 
DOM,PC,W150104,RCV,CZ	47.1 	55.6 	42.9 	52 	64 	68 	69.2 	58.5 	65 	58.6 	63.4 	74.1 
DOM,PC,W150104,RCV,DE	90.1 	91.6 	93.3 	92.8 	93.6 	93.6 	93.3 	94.1 	93.5 	92.6 	92.7 	92.8 
DOM,PC,W150104,RCV,DK	64.2 	86.8 	81.9 	76.9 	76.9 e	80.7 b	51.8 	57 	71.3 	71.9 	87.7 	73.2 
DOM,PC,W150104,RCV,EE	52.5 	18.3 	25.6 	36.1 	60.9 	62.9 b	65.3 	58.4 	78 	68.4 	66.1 	67.7 
DOM,PC,W150104,RCV,EL	46.9 	50.7 	43.8 e	48.2 	41.9 	44.1 	38.2 	48.2 	58.8 	57.4 	61.7 	70.5 
DOM,PC,W150104,RCV,ES	63.3 	63.6 	69.3 	70.6 	70.7 	75.2 	78 	80.9 	81.1 	79.9 	82.6 	85.1 
DOM,PC,W150104,RCV,EU27_2020	68.8 s	70.3 s	70.5 s	73.1 s	75.1 s	76.5 s	77.1 	78.3 	79 	79.8 	80.8 	81.5 
DOM,PC,W150104,RCV,EU28	66.1 s	67.1 s	68.2 s	69.8 s	71.7 s	72.7 s	72.7 	74.6 	75.6 	76.6 	78.8 	79.9 
DOM,PC,W150104,RCV,FI	58.9 	70.3 	75.4 	84.3 	78 	79.9 	85.3 	81.8 	82.3 	83.5 	84.9 	87.8 
DOM,PC,W150104,RCV,FR	66.2 	65.2 	60.9 	65 	75.6 	74.4 	74.7 	76.6 	72.8 	78.1 	81.3 	85.9 
DOM,PC,W150104,RCV,HR	: 	: 	: 	: 	: 	: 	12.5 	12.2 	11.6 	13.9 	16.4 	16.5 
DOM,PC,W150104,RCV,HU	64.2 	65.2 	66.9 	68.7 	75.7 	83.5 	80.8 	94.6 	83.5 	79.7 	71.8 	70.4 
DOM,PC,W150104,RCV,IE	45.5 	67.6 	62 s	56.6 	59.5 	66.6 	75.8 	79.1 	82.5 	77.4 	71.9 	84.4 
DOM,PC,W150104,RCV,IS	: 	: 	: 	: 	32.4 	29 	57.1 	: 	: 	76.4 	75.5 	63.7 
DOM,PC,W150104,RCV,IT	64.6 	68.1 	69 	75.3 	72 	71.6 	74.3 	75.2 	73.3 	73.6 	76.2 	72.6 
DOM,PC,W150104,RCV,LI	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150104,RCV,LT	59.6 	56.7 	62.1 	62.9 	69.1 	68.4 	67.2 	65.6 	66.6 	74.9 	77.3 	79.9 
DOM,PC,W150104,RCV,LU	79.1 	81.2 	80.9 	84.2 	79.4 	82.4 	82.4 	83.6 	85.1 	95.3 	95.9 	95.6 
DOM,PC,W150104,RCV,LV	35.1 	50 	68.4 	51.7 	74.6 	79.1 	62.4 	56.6 	51.8 	51.2 	59.8 	59 
DOM,PC,W150104,RCV,MT	7 	5.6 	12.4 	60.1 	33.9 	30.2 	41.5 	34.3 	39.1 	25.1 	30.1 	42.3 
DOM,PC,W150104,RCV,NL	81.3 	83.3 	86.3 	86.6 	88.2 	91.2 	90.7 	93.1 	93.5 	94.6 	95.2 	94.9 
DOM,PC,W150104,RCV,NO	66.5 	66.3 	79.1 	75.6 	77.8 	79.2 	79.7 	73 	78.3 	82.1 	83.9 	90.3 
DOM,PC,W150104,RCV,PL	43.8 	29.9 	37.5 	43.1 	46 	45.1 	46.9 	35.5 	52.9 	62 	60.9 	62.6 
DOM,PC,W150104,RCV,PT	61.5 	62.5 	64.8 	64.4 	72 	71 	72.3 	75.7 	58.3 	63.6 	42.9 	43.6 
DOM,PC,W150104,RCV,RO	77.2 	55.1 	51 	56.4 	65.7 	62.3 	55.5 	52.8 	64.2 	64.1 	62.1 	60.4 
DOM,PC,W150104,RCV,SE	71.4 	74.3 	72 	77.7 	75.7 	75.4 	74.4 	77.4 	76.5 	77.7 	81.5 	84.5 
DOM,PC,W150104,RCV,SI	19 	20.9 	21.4 	26.9 	32.9 	40.4 	41.6 	58.4 	50.8 	62.8 	71.2 	71.2 
DOM,PC,W150104,RCV,SK	28.3 	76.6 	56.4 	61.7 	44.7 	68.5 	67.9 	69 	70.8 	73.6 	83 	88.9 
DOM,PC,W150104,RCV,UK	53.1 	52 	56.9 	54.9 	55.9 	55.3 	52.1 	57.4 	58.2 	59.8 	68.7 	71.1 
DOM,PC,W150107,RCV,AT	84.5 	85.9 	84.3 	84.8 	83 	86.1 	87.1 	88.8 	88.9 	89.5 	89.3 	88.4 
DOM,PC,W150107,RCV,BE	99.8 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150107,RCV,BG	76.9 	70.8 	47 	39.7 	51.3 	59.5 	60.5 	61.2 	63.2 	62.9 	69.8 	64 
DOM,PC,W150107,RCV,CY	7.6 	10.4 	17.7 	19.9 	25.2 	33.8 	32.4 	32.1 	32.2 	33.2 	39.4 	42.4 
DOM,PC,W150107,RCV,CZ	70.5 	64.6 	69.9 	71.2 	73.1 	74.4 	81.1 	75 	71.6 	72.6 	72.8 	75.1 
DOM,PC,W150107,RCV,DE	82.4 	83.7 	82.2 	82.5 	86.1 	88.4 	84.7 	88.7 	89 	85.2 	85.5 	84.4 
DOM,PC,W150107,RCV,DK	115.1 	128.4 	120.9 	174.2 	174.2 e	85.9 b	93.6 	93 	83.6 	79.5 	85 	94.9 
DOM,PC,W150107,RCV,EE	48.5 	62.1 	45.8 	89.9 	43.4 	65.4 	70.7 	71.5 	72.8 	62.1 	63.4 	61 
DOM,PC,W150107,RCV,EL	25.3 	18 	15 	15.2 	21.4 	36.9 	54.7 	28 	21.5 	29.4 	36.9 	36 
DOM,PC,W150107,RCV,ES	50.6 	55.8 	60 	56.5 	59.8 	66.8 	66.4 	69.9 	70.2 	74 	74.5 	72.2 
DOM,PC,W150107,RCV,EU27_2020	62.3 s	65.2 s	66.9 s	68.8 s	71.2 s	72.7 s	73.4 	74 	75.6 	74.8 	75.8 	76 
DOM,PC,W150107,RCV,EU28	60.6 s	63.6 s	66.1 s	67.6 s	69.4 s	71.3 s	72.6 	73.1 	74.3 	73.4 	74.5 	74.7 
DOM,PC,W150107,RCV,FI	77.3 	87.7 	80.9 	45.1 	61.3 	87.9 	77.6 	76.8 	81.4 	88.4 	95.1 	91.8 
DOM,PC,W150107,RCV,FR	59.5 	61.6 	62.7 	68.1 	69.8 	70.7 	73.5 	73.9 	74.6 	74.8 	76.1 	77.9 
DOM,PC,W150107,RCV,HR	: 	: 	: 	: 	: 	: 	62.8 	65.4 	63.5 	65.2 	56.4 	57 
DOM,PC,W150107,RCV,HU	20.7 	20.7 	27.8 	24.4 	35.4 	41.2 	34.2 	32.4 	36.3 	50.5 	34.6 	34.2 
DOM,PC,W150107,RCV,IE	62.1 	75.5 	73.9 s	75.8 	77.8 	81.2 	85.5 	80 	86.8 	88.2 	86.8 	84.2 
DOM,PC,W150107,RCV,IS	: 	: 	: 	: 	44 	49.3 	48.8 	: 	: 	63.6 	67.1 	70.1 
DOM,PC,W150107,RCV,IT	58.9 	60.4 	65 	66 	68.3 	69.2 	70.9 	70.8 	70.3 	70.9 	70.8 	72.8 
DOM,PC,W150107,RCV,LI	100 	100 	100 	100 	62.1 	64.1 	64.1 	60.8 	65.1 	72.9 	70.1 	73.2 
DOM,PC,W150107,RCV,LT	31 	36 	49.9 	76.1 	66.9 	74.1 	72.2 	54.8 	60.5 	74.3 	71 	45.8 b
