stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W1501,RCV,AT	87.5 	90.2 	91.5 	92.6 	92.2 	93.7 	94 	96.1 	96.2 	96.3 	95.7 	95.3 
DOM,PC,W1501,RCV,BE	94.5 	95.2 	95 	95.2 	95.5 	96.9 	97 	96.6 	99.2 	99.3 	99.8 	99.6 
DOM,PC,W1501,RCV,BG	35 	54.8 	50.4 	45.9 	62 	65.6 	67.5 	66 	62.2 	64.1 	63.8 	65.8 
DOM,PC,W1501,RCV,CY	25.2 	25.9 	34.3 	42.5 	50.1 	52 	55.7 	56.6 	58.7 	59.9 	67.6 	68.7 
DOM,PC,W1501,RCV,CZ	68.9 	71.2 	74.1 	75.8 	77.9 	75.2 	73.6 	74.7 	78.6 	79.5 	79.9 	78.6 
DOM,PC,W1501,RCV,DE	88.4 	94.7 	94.8 	94.9 	95.7 	97.4 	96.8 	97.7 	97.8 	97.2 	97.2 	97 
DOM,PC,W1501,RCV,DK	94.2 	96.5 	97.5 	108.1 	108.1 e	90.5 b	89 	93.4 	92.2 	94 	96.1 	92.9 
DOM,PC,W1501,RCV,EE	50.1 	51.7 	44.7 	58.9 	61.6 	67 	67.8 	77.7 	82 	80.1 	83.8 	81.3 
DOM,PC,W1501,RCV,EL	42.8 	48 	43.8 	52.3 	58.8 	62.1 	58.6 	52.8 	54.3 	60.7 	67.2 	71.6 
DOM,PC,W1501,RCV,ES	60.7 	62.1 	65.4 	67.8 	70 	72.1 	72.5 	73.1 	75 	73.4 	76.8 	74.2 
DOM,PC,W1501,RCV,EU27_2020	69.9 s	73.8 s	73.8 s	75.8 s	77.9 s	79.1 s	80.2 	80.1 	81 	81.3 	81.7 	81.7 
DOM,PC,W1501,RCV,EU28	68.8 s	72.5 s	72.7 s	74.5 s	76.5 s	77.5 s	78.7 	79.2 	78.6 	79 	80.3 	80.2 
DOM,PC,W1501,RCV,FI	77.4 	83.7 	90 	88 	85 	89.6 	93.3 	93.2 	98.3 	102.2 	109.8 	112.1 
DOM,PC,W1501,RCV,FR	64.1 	67.4 	65.2 	66.4 	70.3 	71.2 	74.7 	75.4 	74.6 	75.5 	75.6 	78 
DOM,PC,W1501,RCV,HR	: 	: 	: 	: 	: 	: 	59.7 	58.8 	52.8 	60.1 	54.7 	53.3 
DOM,PC,W1501,RCV,HU	51.1 	54.6 	56.5 	55 	62.3 	62.9 	60.1 	60.3 	55.2 	58.1 	59.9 	60.1 
DOM,PC,W1501,RCV,IE	57.3 	63.6 	64.7 s	69.9 	73.7 	79 	86.6 	88.1 	90.6 	91.4 	87.6 	85.8 
DOM,PC,W1501,RCV,IS	: 	: 	: 	: 	47.8 	64.6 	56.5 	: 	: 	63.8 	67.5 	63.2 
DOM,PC,W1501,RCV,IT	65.3 	67 	68.6 	74 	74.7 	74 	76.3 	76.5 	76.4 	77.9 	78 	77.6 
DOM,PC,W1501,RCV,LI	100 	100 	100 	100 	91.4 	91 	90 	90.9 	91.2 	92.2 	92.2 	92.4 
DOM,PC,W1501,RCV,LT	38.4 	44.1 	52.2 	58.4 	60.9 	62.9 	62.5 	53.9 	57.9 	60.2 	69.7 	69.6 
DOM,PC,W1501,RCV,LU	92.5 	92 	93.7 	91.4 	90.3 	92.5 	93 	91.8 	92.3 	97.3 	97.6 	97.7 
DOM,PC,W1501,RCV,LV	46 	40.9 	51.7 	51.1 	52.7 	53.7 	54.6 	54.5 	58.4 	62.1 	60.2 	60.9 
DOM,PC,W1501,RCV,MT	10.8 	10.4 	45.9 	36.9 	29.2 	44.7 	47.5 	38.2 	41.3 	37.2 	39.7 	35.6 
