unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W10,PL	8314308 	8887813 	10124051 	15357715 	18056840 	23611842 	28872698 
T,HAZ_NHAZ,TOTAL_HH,W10,PT	5726983 	7853272 	7455885 	5581823 	5215067 	5202851 	5318139 
T,HAZ_NHAZ,TOTAL_HH,W10,RO	7236697 s	7493543 	7780641 	7677108 	6324330 	6482893 	6231252 
T,HAZ_NHAZ,TOTAL_HH,W10,RS	: 	: 	: 	43895 	177366 	1652009 	1745588 
T,HAZ_NHAZ,TOTAL_HH,W10,SE	6094437 	6379870 	5652172 	4881636 	5078172 	4908952 	6335228 
T,HAZ_NHAZ,TOTAL_HH,W10,SI	967922 	793103 	938925 	879339 	775109 	667449 	591626 
T,HAZ_NHAZ,TOTAL_HH,W10,SK	487620 	1656017 	1781264 	1612079 	1589721 	1582460 	1706238 
T,HAZ_NHAZ,TOTAL_HH,W10,TR	29878905 	30083349 	25460193 	29682119 	30960121 	31464367 	32441724 
T,HAZ_NHAZ,TOTAL_HH,W10,UK	85807015 	59930511 	55713421 	41220677 	40806781 	42547630 	48210585 
T,HAZ_NHAZ,TOTAL_HH,W10,XK	: 	: 	: 	: 	755702 	756442 	398745 
T,HAZ_NHAZ,TOTAL_HH,W11,AT	542867 	271870 	847453 	438591 	471415 	432207 	437650 
T,HAZ_NHAZ,TOTAL_HH,W11,BA	: 	: 	: 	: 	5548 	: 	: 
T,HAZ_NHAZ,TOTAL_HH,W11,BE	592724 	429241 	564897 	2420744 	639671 	595580 	837821 
T,HAZ_NHAZ,TOTAL_HH,W11,BG	154116 	31016 	153550 	32503 	62562 	78817 	103102 
T,HAZ_NHAZ,TOTAL_HH,W11,CY	433395 	4945 	8989 	11437 	6874 	6906 	8091 
T,HAZ_NHAZ,TOTAL_HH,W11,CZ	708626 	477543 	547912 	759637 	797984 	348833 	440657 
T,HAZ_NHAZ,TOTAL_HH,W11,DE	1021891 	977745 	529181 	1253265 	1341622 	1614740 	1484603 
T,HAZ_NHAZ,TOTAL_HH,W11,DK	191706 	188344 	541748 	358974 	221298 	150267 	174049 
T,HAZ_NHAZ,TOTAL_HH,W11,EE	34534 	360729 	45035 	31984 	25133 	27245 	37319 
T,HAZ_NHAZ,TOTAL_HH,W11,EL	116678 	139964 	158732 	117789 	109274 	138035 	116977 
T,HAZ_NHAZ,TOTAL_HH,W11,ES	2021171 	1840481 	1612619 	1467945 	1427488 	1438320 	1458168 
T,HAZ_NHAZ,TOTAL_HH,W11,EU27_2020	13140000 	14320000 	12210000 	14400000 	16970000 	16000000 	16550000 
T,HAZ_NHAZ,TOTAL_HH,W11,EU28	14940000 	16350000 	15740000 	15520000 	19130000 	18420000 	20710000 
T,HAZ_NHAZ,TOTAL_HH,W11,FI	591297 	678322 	817233 	463118 	391336 	397613 	523759 
T,HAZ_NHAZ,TOTAL_HH,W11,FR	1064050 	1485000 	1326290 	1455706 	1470958 	1394495 	1211431 
T,HAZ_NHAZ,TOTAL_HH,W11,HR	369331 	78483 	63802 	149497 	17987 	16830 	21366 
T,HAZ_NHAZ,TOTAL_HH,W11,HU	234097 	419498 	223424 	236867 	277676 	164486 	165713 
T,HAZ_NHAZ,TOTAL_HH,W11,IE	87406 	96993 	257159 	311969 	317793 	616688 	246216 
T,HAZ_NHAZ,TOTAL_HH,W11,IS	1000 	: 	5952 	3889 	3449 	3720 	4427 
T,HAZ_NHAZ,TOTAL_HH,W11,IT	1089057 	1179185 	1184306 	1642482 	5994323 	5452096 	6074772 
T,HAZ_NHAZ,TOTAL_HH,W11,LI	: 	: 	12861 	4054 	36850 	2716 	2255 
T,HAZ_NHAZ,TOTAL_HH,W11,LT	98150 	95298 	57038 	61547 	52308 	48937 	53482 
T,HAZ_NHAZ,TOTAL_HH,W11,LU	12256 	12284 	14024 	11303 	10234 	10639 	8783 
T,HAZ_NHAZ,TOTAL_HH,W11,LV	31731 	24356 	95593 	46316 	77571 	22705 	25851 
T,HAZ_NHAZ,TOTAL_HH,W11,ME	: 	: 	: 	: 	9 	10208 	35144 
T,HAZ_NHAZ,TOTAL_HH,W11,MK	: 	: 	20582 	1788 	6355016 	30 	7 
T,HAZ_NHAZ,TOTAL_HH,W11,MT	213 	9 	146 	1567 	10838 	9626 	11344 
T,HAZ_NHAZ,TOTAL_HH,W11,NL	857713 	975927 	773872 	657743 	636328 	637871 	662266 
T,HAZ_NHAZ,TOTAL_HH,W11,NO	105564 	103795 	101398 	108472 	125119 	205788 	214780 
T,HAZ_NHAZ,TOTAL_HH,W11,PL	930493 	2657418 	644309 	630924 	659778 	626376 	663310 
T,HAZ_NHAZ,TOTAL_HH,W11,PT	777471 	894763 	623359 	655057 	702492 	665415 	700811 
T,HAZ_NHAZ,TOTAL_HH,W11,RO	32419 s	167161 	215475 	324256 	277576 	212510 	203189 
T,HAZ_NHAZ,TOTAL_HH,W11,RS	: 	: 	: 	981 	1891 	143299 	105882 
T,HAZ_NHAZ,TOTAL_HH,W11,SE	591229 	484866 	594858 	483388 	602415 	423457 	400015 
T,HAZ_NHAZ,TOTAL_HH,W11,SI	82755 	64090 	90081 	84263 	84591 	180419 	183283 
T,HAZ_NHAZ,TOTAL_HH,W11,SK	474680 	292232 	218724 	288181 	285714 	293818 	296048 
T,HAZ_NHAZ,TOTAL_HH,W11,TR	20040 	12 	15986 	63861 	110685 	36794 	309354 
T,HAZ_NHAZ,TOTAL_HH,W11,UK	1802165 	2026847 	3528994 	1124640 	2153347 	2415148 	4164722 
T,HAZ_NHAZ,TOTAL_HH,W11,XK	: 	: 	: 	: 	150781 	0 	0 
T,HAZ_NHAZ,TOTAL_HH,W12-13,AT	34237473 	35669689 	37762147 	32670362 	34963121 	42423893 	46720530 
T,HAZ_NHAZ,TOTAL_HH,W12-13,BA	: 	: 	: 	: 	3754351 	: 	: 
T,HAZ_NHAZ,TOTAL_HH,W12-13,BE	24060634 	28298096 	24545906 	24980272 	26762740 	28341650 	31818500 
T,HAZ_NHAZ,TOTAL_HH,W12-13,BG	193077821 	155959137 	160547422 	160901522 	154212952 	172369117 	112770610 
T,HAZ_NHAZ,TOTAL_HH,W12-13,CY	344596 	359546 	1016476 	1508198 	1213538 	1335272 	1749622 
T,HAZ_NHAZ,TOTAL_HH,W12-13,CZ	18740039 	14912178 	15727019 	13393302 	12408695 	13379041 	14214572 
T,HAZ_NHAZ,TOTAL_HH,W12-13,DE	270465482 	272452536 	273972983 	261385432 	259811499 	275413069 	285999069 
T,HAZ_NHAZ,TOTAL_HH,W12-13,DK	5654987 	7197732 	7088789 	6759895 	8130858 	12255549 	12844753 
T,HAZ_NHAZ,TOTAL_HH,W12-13,EE	12323924 	12826239 	14597462 	14948156 	18234477 	18094986 	21557515 
T,HAZ_NHAZ,TOTAL_HH,W12-13,EL	20462890 	37347518 	59102471 	60895972 	63811891 	59985396 	62804095 
T,HAZ_NHAZ,TOTAL_HH,W12-13,ES	86875101 	94365295 	87064442 	80766423 	62097940 	52155411 	67032951 
T,HAZ_NHAZ,TOTAL_HH,W12-13,EU27_2020	1617240000 	1638390000 	1537090000 	1606680000 	1650790000 	1641550000 	1633770000 
T,HAZ_NHAZ,TOTAL_HH,W12-13,EU28	1766540000 	1785390000 	1682280000 	1748320000 	1791400000 	1798870000 	1796650000 
T,HAZ_NHAZ,TOTAL_HH,W12-13,FI	49332516 	49348591 	60960551 	82628061 	72980656 	84662998 	110912177 
T,HAZ_NHAZ,TOTAL_HH,W12-13,FR	208587554 	224331365 	254885300 	261758561 	252705764 	236301207 	233855735 
T,HAZ_NHAZ,TOTAL_HH,W12-13,HR	2495993 	754750 	1212516 	386550 	845519 	801687 	2020424 
T,HAZ_NHAZ,TOTAL_HH,W12-13,HU	9420999 	10476766 	8344494 	8185129 	8142770 	7605276 	7583054 
T,HAZ_NHAZ,TOTAL_HH,W12-13,IE	16908264 	23140092 	17010871 	8058548 	5192307 	7898378 	7383657 
T,HAZ_NHAZ,TOTAL_HH,W12-13,IS	10100 	: 	89887 	31331 	19422 	403068 	584663 
T,HAZ_NHAZ,TOTAL_HH,W12-13,IT	66798545 	74754853 	96427769 	69595072 	63702468 	61936179 	65457311 
T,HAZ_NHAZ,TOTAL_HH,W12-13,LI	: 	: 	313984 	246059 	393593 	526279 	456691 
T,HAZ_NHAZ,TOTAL_HH,W12-13,LT	604557 	749420 	799691 	2548712 	2731427 	3011590 	3282276 
T,HAZ_NHAZ,TOTAL_HH,W12-13,LU	7489130 	7504255 	8709870 	9503723 	7539380 	6272673 	9078289 
T,HAZ_NHAZ,TOTAL_HH,W12-13,LV	109032 	234086 	236707 	336466 	676661 	671423 	490622 
T,HAZ_NHAZ,TOTAL_HH,W12-13,ME	: 	: 	: 	: 	354752 	761827 	1271351 
T,HAZ_NHAZ,TOTAL_HH,W12-13,MK	: 	: 	1270173 	1793146 	2029231 	121551 	730140 
T,HAZ_NHAZ,TOTAL_HH,W12-13,MT	2816782 	2498938 	1673811 	1016767 	1063668 	1258426 	1387556 
T,HAZ_NHAZ,TOTAL_HH,W12-13,NL	57794273 	63003794 	65995240 	83481760 	85106497 	95786730 	104035331 
T,HAZ_NHAZ,TOTAL_HH,W12-13,NO	1740483 	2106240 	2297685 	1839713 	1560870 	2784192 	3143490 
T,HAZ_NHAZ,TOTAL_HH,W12-13,PL	106890051 	120049248 	107424955 	122709506 	123443145 	135184220 	132026825 
T,HAZ_NHAZ,TOTAL_HH,W12-13,PT	11454075 	9497465 	2834483 	2775140 	2763279 	3318667 	3464917 
T,HAZ_NHAZ,TOTAL_HH,W12-13,RO	330421219 s	306719750 	155359619 	185800102 	235509213 	163010332 	163360379 
T,HAZ_NHAZ,TOTAL_HH,W12-13,RS	: 	: 	: 	33125244 	54304873 	46707848 	46011410 
T,HAZ_NHAZ,TOTAL_HH,W12-13,SE	71449780 	74038072 	65913389 	101828097 	141173397 	152012352 	124068961 
T,HAZ_NHAZ,TOTAL_HH,W12-13,SI	2757778 	2955209 	2190717 	3541472 	2177827 	2071792 	3269787 
T,HAZ_NHAZ,TOTAL_HH,W12-13,SK	5667000 	8941811 	5685111 	4316680 	3388846 	3989886 	4584164 
T,HAZ_NHAZ,TOTAL_HH,W12-13,TR	21102996 	15995288 	32847218 	29436711 	31548364 	36638264 	35557912 
T,HAZ_NHAZ,TOTAL_HH,W12-13,UK	149303606 	146998905 	145188207 	141644376 	140608714 	157318513 	162876688 
T,HAZ_NHAZ,TOTAL_HH,W12-13,XK	: 	: 	: 	: 	212535 	217241 	2044678 
