unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W01-05,ES	3902932 	3947761 	3835811 	3733515 	3181435 	2990346 	2660216 
T,HAZ_NHAZ,TOTAL_HH,W01-05,EU27_2020	50850000 	53730000 	48780000 	48430000 	48100000 	50400000 	49350000 
T,HAZ_NHAZ,TOTAL_HH,W01-05,EU28	57540000 	59960000 	54500000 	52370000 	52550000 	54790000 	54150000 
T,HAZ_NHAZ,TOTAL_HH,W01-05,FI	1709530 	1790754 	2301068 	1101392 	902795 	1006713 	786682 
T,HAZ_NHAZ,TOTAL_HH,W01-05,FR	3145190 	3621082 	3997840 	4870350 	5212930 	4867183 	4961278 
T,HAZ_NHAZ,TOTAL_HH,W01-05,HR	1683500 	1144560 	492175 	56599 	44960 	56814 	63227 
T,HAZ_NHAZ,TOTAL_HH,W01-05,HU	918914 	512425 	360483 	542161 	557934 	489182 	514707 
T,HAZ_NHAZ,TOTAL_HH,W01-05,IE	333669 	357167 	390739 	1644172 	1295493 	776112 	992229 
T,HAZ_NHAZ,TOTAL_HH,W01-05,IS	7515 	: 	8568 	3848 	8680 	108365 	121271 
T,HAZ_NHAZ,TOTAL_HH,W01-05,IT	5975555 	7062611 	8349657 	10233372 	13269093 	15772490 	14291742 
T,HAZ_NHAZ,TOTAL_HH,W01-05,LI	: 	: 	3098 	4840 	958 	1372 	1395 
T,HAZ_NHAZ,TOTAL_HH,W01-05,LT	1912290 	2049800 	1986846 	66297 	56073 	70124 	67441 
T,HAZ_NHAZ,TOTAL_HH,W01-05,LU	34743 	33448 	51787 	41319 	39858 	47825 	58669 
T,HAZ_NHAZ,TOTAL_HH,W01-05,LV	36957 	63370 	58176 	113376 	40729 	65624 	110214 
T,HAZ_NHAZ,TOTAL_HH,W01-05,ME	: 	: 	: 	: 	12081 	30552 	7441 
T,HAZ_NHAZ,TOTAL_HH,W01-05,MK	: 	: 	9763 	3092 	12776 	951293 	33101 
T,HAZ_NHAZ,TOTAL_HH,W01-05,MT	30748 	39838 	44872 	16304 	20181 	23126 	29892 
T,HAZ_NHAZ,TOTAL_HH,W01-05,NL	1927693 	2331625 	2433094 	2372715 	2494239 	2404024 	2516257 
T,HAZ_NHAZ,TOTAL_HH,W01-05,NO	541302 	567721 	664775 	842668 	1052088 	911374 	892533 
T,HAZ_NHAZ,TOTAL_HH,W01-05,PL	5123033 	5122746 	3263521 	2815908 	2511001 	2486819 	2988049 
T,HAZ_NHAZ,TOTAL_HH,W01-05,PT	2501915 	6089156 	737234 	867434 	714222 	841168 	718418 
T,HAZ_NHAZ,TOTAL_HH,W01-05,RO	1655378 s	909824 	1196681 	970786 	999640 	900787 	951175 
T,HAZ_NHAZ,TOTAL_HH,W01-05,RS	: 	: 	: 	80725 	61716 	32888 	34555 
T,HAZ_NHAZ,TOTAL_HH,W01-05,SE	1683943 	1621510 	1659416 	1744310 	1442118 	1315108 	1285384 
