wst_oper,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
RCY,PC,LU	20.0 	20.2 	26.9 	30.8 	30.6 	36.1 	37.2 	38.1 	42.5 	41.5 	43.5 	43.7 	45.0 	46.0 	46.2 	46.5 	46.4 	47.4 	46.6 	47.7 	47.4 	48.2 	50.4 	50.1 e
RCY,PC,LV	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.4 e	0.4 	2.3 	4.6 	3.8 	4.5 	5.0 	6.4 	7.7 	9.4 	9.7 	14.7 	25.9 	27.0 	28.7 	25.2 	24.8 	25.2 
RCY,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	2.6 	3.2 	5.0 	4.5 	: 	3.5 	5.5 
RCY,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 e	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	: 
RCY,PC,MT	13.7 e	12.2 e	10.8 e	9.6 e	7.2 	10.1 	9.0 	5.1 	6.5 	6.4 	8.7 	13.4 	4.1 	3.6 	3.7 	5.2 	9.0 	9.7 	8.5 	7.4 	6.7 	7.0 	7.1 	6.5 
RCY,PC,NL	39.7 	41.5 	43.6 	43.9 	43.8 	44.1 	43.7 	45.3 	45.6 	46.9 	46.7 	46.8 	48.3 	48.4 	49.1 	49.2 	49.1 	49.4 	49.8 	50.9 	51.8 	53.5 	54.6 	55.9 
RCY,PC,NO	13.7 	19.9 	24.7 	22.4 	29.5 	30.6 	44.3 	45.4 	45.8 	36.5 	39.3 	40.3 	42.6 	43.6 	43.0 	42.1 	39.9 	39.8 	39.2 	42.2 	42.8 	38.2 	38.8 	40.7 
RCY,PC,PL	1.8 	1.9 	3.0 	2.0 	2.0 	2.1 	4.1 	3.1 	2.8 	4.9 	5.6 e	6.9 e	7.7 e	10.5 e	13.2 e	16.3 e	11.4 e	12.0 e	15.1 e	26.5 e	32.5 e	34.8 e	33.8 e	34.3 e
RCY,PC,PT	9.7 	9.8 	9.9 	10.3 	10.7 	10.5 	11.9 	7.6 	10.9 	13.5 	15.2 	15.9 	17.1 	17.3 	19.5 	18.7 	20.1 	26.1 	25.8 	30.4 	29.8 	30.9 	28.4 	28.9 
RCY,PC,RO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 e	1.6 e	2.0 e	0.2 e	1.1 e	1.8 e	0.5 e	0.4 e	0.9 e	1.1 e	12.8 	11.7 	14.8 	13.2 	13.1 	13.2 	13.3 	14.0 	11.1 
RCY,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.7 	0.8 	0.3 	0.3 	0.3 
RCY,PC,SE	26.3 	30.4 	32.6 	35.3 	37.5 	38.5 	39.0 	39.7 	41.3 	43.9 	44.6 	47.7 	46.7 	45.6 	49.2 	47.8 	47.0 	46.9 	48.2 	49.3 	47.5 	48.4 	46.8 	45.8 
RCY,PC,SI	2.0 	5.3 	6.0 	9.6 	6.3 	6.0 	2.7 	9.0 	12.6 	20.4 	18.6 	15.4 	21.9 	18.9 	19.6 	22.4 	35.6 	41.9 	34.8 	36.0 	54.1 e	55.6 e	57.8 e	58.9 e
RCY,PC,SK	2.8 s	2.8 s	5.0 e	4.7 	4.8 	5.1 	5.4 	4.8 	5.6 	6.2 	2.0 	4.1 	6.6 	7.4 	8.2 	9.1 	10.8 	13.4 	10.8 	10.3 	14.9 	23.0 	29.8 	36.3 
RCY,PC,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.2 e	9.2 e	11.5 e
RCY,PC,UK	: 	: 	: 	: 	: 	11.1 	12.4 	14.5 	18.1 	22.6 	26.7 	30.3 	33.6 	36.4 	38.3 	40.2 	42.0 	42.6 	43.2 	43.4 	43.3 	44.0 	43.8 	44.1 
