"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","0","","tonnes"
"Albania","2014","0","","tonnes"
"Albania","2013","0","","tonnes"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Armenia","2015","290","","tonnes"
"Armenia","2014","2290","","tonnes"
"Armenia","2013","4059","","tonnes"
"Armenia","2012","7983","","tonnes"
"Armenia","2011","5154","1","tonnes"
"Armenia","2010","2286","","tonnes"
"Armenia","2009","2340","","tonnes"
"Armenia","2008","2362","","tonnes"
"Armenia","2007","0","","tonnes"
"Armenia","2006","0","","tonnes"
"Armenia","2005","0","","tonnes"
"Armenia","2004","0","","tonnes"
"Armenia","2003","0","","tonnes"
"Armenia","2002","0","","tonnes"
"Armenia","2001","0","","tonnes"
"Armenia","2000","0","","tonnes"
"Armenia","1999","0","","tonnes"
"Armenia","1998","0","","tonnes"
"Austria","2014","163911","","tonnes"
"Austria","2012","86393","","tonnes"
"Austria","2010","196956","","tonnes"
"Azerbaijan","2015","5174.89990234375","","tonnes"
"Azerbaijan","2014","3163.39990234375","","tonnes"
"Azerbaijan","2013","618.400024414063","","tonnes"
"Azerbaijan","2012","6316.60009765625","","tonnes"
"Azerbaijan","2011","3619.10009765625","","tonnes"
"Azerbaijan","2010","5548.2001953125","","tonnes"
"Azerbaijan","2009","18739.099609375","","tonnes"
"Azerbaijan","2008","4741","","tonnes"
"Azerbaijan","2007","4926","","tonnes"
"Azerbaijan","2006","3263","","tonnes"
"Azerbaijan","2005","4911","","tonnes"
"Azerbaijan","2004","3836","","tonnes"
"Azerbaijan","2003","1359","","tonnes"
"Azerbaijan","2002","728","","tonnes"
"Azerbaijan","2001","395","","tonnes"
"Bangladesh","2012","0","","tonnes"
"Bangladesh","2007","0","","tonnes"
"Belarus","2015","889779.25","2","tonnes"
"Belarus","2014","1242204.75","2","tonnes"
"Belarus","2013","1091670.25","2","tonnes"
"Belarus","2012","1324327.75","2","tonnes"
"Belarus","2011","827656.8125","2","tonnes"
"Belarus","2010","774900","2","tonnes"
"Belarus","2009","675189.625","2","tonnes"
"Belarus","2008","437105.875","2","tonnes"
"Belarus","2007","344168.1875","2","tonnes"
"Belarus","2006","252869.46875","2","tonnes"
"Belarus","2005","227356.75","2","tonnes"
"Belarus","2004","54.7000007629395","2","tonnes"
"Belarus","2003","23815","","tonnes"
"Belarus","2002","17412","","tonnes"
"Belarus","2001","14167","","tonnes"
"Belgium","2014","967239","","tonnes"
"Belgium","2012","879833","","tonnes"
"Belgium","2010","12610402","","tonnes"
"Bermuda","2015","400.799987792969","3","tonnes"
"Bermuda","2014","376","","tonnes"
"Bermuda","2013","356","","tonnes"
"Bermuda","2012","362","","tonnes"
"Bermuda","2011","352","","tonnes"
"Bermuda","2010","365","","tonnes"
"Bulgaria","2014","151901","","tonnes"
"Bulgaria","2012","61337","","tonnes"
"Bulgaria","2010","58195","","tonnes"
"Cameroon","2009","434.399993896484","","tonnes"
"Cameroon","2008","365.299987792969","","tonnes"
"Cameroon","2007","410.799987792969","","tonnes"
"Cameroon","2006","357.799987792969","","tonnes"
"Cameroon","2005","14.3000001907349","","tonnes"
"Cameroon","2004","206.300003051758","","tonnes"
"China, Hong Kong Special Administrative Region","2015","12918","4","tonnes"
"China, Hong Kong Special Administrative Region","2014","11680","4","tonnes"
"China, Hong Kong Special Administrative Region","2013","12766","4","tonnes"
"China, Hong Kong Special Administrative Region","2012","12872","4","tonnes"
"China, Hong Kong Special Administrative Region","2011","12420","4","tonnes"
"China, Hong Kong Special Administrative Region","2010","10371","4","tonnes"
"China, Hong Kong Special Administrative Region","2009","8396","4","tonnes"
"China, Hong Kong Special Administrative Region","2008","7381","4","tonnes"
