unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,EP_HH,TOTAL,HR	: 	183162 	0 	0 	1190553 	1162112 	1144199 
T,HAZ_NHAZ,EP_HH,TOTAL,HU	4442050 e	2978311 e	3466071 e	2864896 	2680573 	2951303 	2905569 
T,HAZ_NHAZ,EP_HH,TOTAL,IE	1702345 	1978711 	1677338 	1730028 	1656670 	1524356 	1513544 
T,HAZ_NHAZ,EP_HH,TOTAL,IS	141487 	: 	: 	232256 	232921 	347640 	430927 
T,HAZ_NHAZ,EP_HH,TOTAL,IT	31149585 	32522650 	32471571 	32478921 	29993530 	29651721 	30116606 
T,HAZ_NHAZ,EP_HH,TOTAL,LI	: 	: 	0 	0 	316274 	26988 	27167 
T,HAZ_NHAZ,EP_HH,TOTAL,LT	601749 	1298932 	1362620 	1261400 	1176825 	1161764 	1119278 
T,HAZ_NHAZ,EP_HH,TOTAL,LU	221014 	191580 	276272 	250061 	249010 	242849 	639586 
T,HAZ_NHAZ,EP_HH,TOTAL,LV	543490 	853889 	606077 	694013 	1213193 	709118 	870177 
T,HAZ_NHAZ,EP_HH,TOTAL,ME	: 	: 	: 	: 	0 	187289 	227055 
T,HAZ_NHAZ,EP_HH,TOTAL,MK	: 	: 	: 	451382 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,TOTAL,MT	132387 	130208 	145817 	149564 	149267 	154456 	165852 
T,HAZ_NHAZ,EP_HH,TOTAL,NL	9455209 	9416499 	9434770 	9084649 	8862530 	8523482 	8549762 
T,HAZ_NHAZ,EP_HH,TOTAL,NO	1933939 	2199862 	2224522 	2228608 	2437776 	2426530 	2444305 
T,HAZ_NHAZ,EP_HH,TOTAL,PL	6768077 	6885997 	6879294 	8889685 	9324197 	8240413 	9534484 
T,HAZ_NHAZ,EP_HH,TOTAL,PT	4582610 	4641103 e	5466307 	5461636 	4765925 	4710465 	4897262 
T,HAZ_NHAZ,EP_HH,TOTAL,RO	3638200 	6368670 	6503356 	5164479 	4525388 	3823053 	4098427 
T,HAZ_NHAZ,EP_HH,TOTAL,RS	: 	: 	: 	0 	0 	1637251 	1589709 
T,HAZ_NHAZ,EP_HH,TOTAL,SE	4079432 	4340669 	4393002 	4038272 	4193105 	4172574 	4410872 
T,HAZ_NHAZ,EP_HH,TOTAL,SI	660980 	1088875 	714165 	727708 	641449 	562375 	633790 
T,HAZ_NHAZ,EP_HH,TOTAL,SK	1475121 	1623306 	1772426 	1719012 	1656571 	1732983 	1889523 
T,HAZ_NHAZ,EP_HH,TOTAL,TR	29224710 e	30081820 	28454025 	29587465 	30785436 	31230000 	27985092 
T,HAZ_NHAZ,EP_HH,TOTAL,UK	31007480 	32466328 	31539338 	27393709 	26416270 	26797105 	27300581 
T,HAZ_NHAZ,EP_HH,TOTAL,XK	: 	: 	: 	: 	490045 	490045 	302741 
T,HAZ_NHAZ,EP_HH,W01-05,AT	8159 	8054 	7734 	8115 	14160 	14411 	14717 
T,HAZ_NHAZ,EP_HH,W01-05,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W01-05,BE	15814 	11533 	17674 	18662 	18914 	18395 	17785 
T,HAZ_NHAZ,EP_HH,W01-05,BG	0 	0 	0 	2825 	3202 	98 	18204 
T,HAZ_NHAZ,EP_HH,W01-05,CY	0 	1260 	1616 	951 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W01-05,CZ	3457 	4635 	3304 	3804 	5509 	6444 	6632 
T,HAZ_NHAZ,EP_HH,W01-05,DE	38785 	18169 	21300 	27294 	26331 	32019 	32676 
T,HAZ_NHAZ,EP_HH,W01-05,DK	111 	17 	240 	27862 	25758 	13838 	15492 
T,HAZ_NHAZ,EP_HH,W01-05,EE	523 	520 	746 	377 	431 	937 	739 
T,HAZ_NHAZ,EP_HH,W01-05,EL	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W01-05,ES	43093 	46744 	2895 	2370 	6677 	6879 	4238 
T,HAZ_NHAZ,EP_HH,W01-05,EU27_2020	230000 	280000 	170000 	170000 	200000 	190000 	220000 
T,HAZ_NHAZ,EP_HH,W01-05,EU28	240000 	290000 	210000 	180000 	210000 	210000 	240000 
T,HAZ_NHAZ,EP_HH,W01-05,FI	1805 	1184 	354 	0 	4920 	0 	0 
T,HAZ_NHAZ,EP_HH,W01-05,FR	38200 	31700 	54060 	14435 	19382 	12437 	13188 
T,HAZ_NHAZ,EP_HH,W01-05,HR	0 	89556 	0 	0 	33 	10 	18 
T,HAZ_NHAZ,EP_HH,W01-05,HU	0 	0 	0 	104 	172 	21 	1192 
T,HAZ_NHAZ,EP_HH,W01-05,IE	149 	0 	: 	1355 	1634 	1639 	1823 
T,HAZ_NHAZ,EP_HH,W01-05,IS	0 	: 	: 	27 	27 	294 	361 
T,HAZ_NHAZ,EP_HH,W01-05,IT	12696 	9631 	11769 	15346 	16769 	19425 	21908 
T,HAZ_NHAZ,EP_HH,W01-05,LI	: 	: 	0 	0 	20 	19 	25 
T,HAZ_NHAZ,EP_HH,W01-05,LT	91 	109 	292 	10 	206 	359 	496 
T,HAZ_NHAZ,EP_HH,W01-05,LU	1062 	245 	113 	300 	212 	187 	777 
T,HAZ_NHAZ,EP_HH,W01-05,LV	0 	12121 	12940 	8221 	9762 	21132 	28239 
T,HAZ_NHAZ,EP_HH,W01-05,ME	: 	: 	: 	: 	0 	: 	2 
T,HAZ_NHAZ,EP_HH,W01-05,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W01-05,MT	0 	0 	0 	53 	600 	423 	251 
T,HAZ_NHAZ,EP_HH,W01-05,NL	25020 	18126 	18212 	17420 	17450 	16514 	16326 
T,HAZ_NHAZ,EP_HH,W01-05,NO	5922 	6712 	9837 	9996 	2622 	11599 	18201 
T,HAZ_NHAZ,EP_HH,W01-05,PL	0 	0 	0 	0 	0 	827 	965 
T,HAZ_NHAZ,EP_HH,W01-05,PT	13089 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W01-05,RO	0 	0 	0 	0 	1 	15 	0 
T,HAZ_NHAZ,EP_HH,W01-05,RS	: 	: 	: 	0 	0 	252 	32 
T,HAZ_NHAZ,EP_HH,W01-05,SE	22391 	19578 	17878 	17948 	22368 	22686 	22487 
T,HAZ_NHAZ,EP_HH,W01-05,SI	3640 	7213 	494 	860 	1151 	1223 	1409 
T,HAZ_NHAZ,EP_HH,W01-05,SK	0 	110 	245 	442 	563 	715 	603 
T,HAZ_NHAZ,EP_HH,W01-05,TR	0 	0 	210845 	: 	: 	: 	: 
T,HAZ_NHAZ,EP_HH,W01-05,UK	8047 	8376 	37936 	14311 	14352 	17253 	21895 
T,HAZ_NHAZ,EP_HH,W01-05,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W06_07A,AT	1189407 	1261460 	1355424 	1395363 	1377961 	1449413 	1463464 
T,HAZ_NHAZ,EP_HH,W06_07A,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W06_07A,BE	1226692 	1470707 	1482660 	1674108 	1642639 	1571493 	1577108 
T,HAZ_NHAZ,EP_HH,W06_07A,BG	0 	0 	0 	1002685 	737022 	541858 	467084 
T,HAZ_NHAZ,EP_HH,W06_07A,CY	186615 	180832 	246045 	263461 	17651 	16497 	18032 
T,HAZ_NHAZ,EP_HH,W06_07A,CZ	234548 	401862 	346489 	413921 	459022 	476277 	521800 
T,HAZ_NHAZ,EP_HH,W06_07A,DE	9307363 	7766518 	8724215 	8625873 	8648166 	8496365 	8517376 
T,HAZ_NHAZ,EP_HH,W06_07A,DK	401022 	420211 	754719 	655031 	595890 	873005 	789313 
T,HAZ_NHAZ,EP_HH,W06_07A,EE	185166 	203466 	208662 	204834 	204473 	199675 	147388 
T,HAZ_NHAZ,EP_HH,W06_07A,EL	0 	43410 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W06_07A,ES	1511697 	1611226 	1995667 	2277729 	1783207 	1578729 	1994286 
T,HAZ_NHAZ,EP_HH,W06_07A,EU27_2020	28220000 	29310000 	31050000 	33810000 	33840000 	33160000 	34700000 
T,HAZ_NHAZ,EP_HH,W06_07A,EU28	31780000 	33600000 	35220000 	37590000 	37280000 	36470000 	37970000 
T,HAZ_NHAZ,EP_HH,W06_07A,FI	309680 	301535 	396000 	332191 	401683 	296912 	296007 
T,HAZ_NHAZ,EP_HH,W06_07A,FR	3204500 	3348400 	3731650 	4560838 	5610186 	5004678 	5261386 
T,HAZ_NHAZ,EP_HH,W06_07A,HR	0 	32836 	0 	0 	61613 	79220 	84965 
T,HAZ_NHAZ,EP_HH,W06_07A,HU	527650 	85432 	348147 	362441 	441864 	344530 	171050 
T,HAZ_NHAZ,EP_HH,W06_07A,IE	853134 	1055673 	: 	134876 	120883 	125400 	135633 
T,HAZ_NHAZ,EP_HH,W06_07A,IS	19950 	: 	: 	61055 	64959 	77622 	101064 
T,HAZ_NHAZ,EP_HH,W06_07A,IT	4455799 	5215385 	6122828 	6611174 	6506079 	6922431 	7491517 
T,HAZ_NHAZ,EP_HH,W06_07A,LI	: 	: 	0 	0 	10727 	10642 	11413 
T,HAZ_NHAZ,EP_HH,W06_07A,LT	38325 	396533 	466986 	450632 	299627 	270286 	292171 
T,HAZ_NHAZ,EP_HH,W06_07A,LU	18152 	14409 	48444 	55229 	53809 	38572 	39230 
T,HAZ_NHAZ,EP_HH,W06_07A,LV	0 	33265 	0 	56884 	149091 	166659 	228236 
T,HAZ_NHAZ,EP_HH,W06_07A,ME	: 	: 	: 	: 	0 	: 	10052 
T,HAZ_NHAZ,EP_HH,W06_07A,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W06_07A,MT	2534 	3946 	10539 	13281 	16228 	19825 	15308 
T,HAZ_NHAZ,EP_HH,W06_07A,NL	1981407 	2041565 	2147148 	2052434 	1956439 	1842766 	1819177 
T,HAZ_NHAZ,EP_HH,W06_07A,NO	484156 	630513 	721726 	718345 	702982 	750499 	774562 
T,HAZ_NHAZ,EP_HH,W06_07A,PL	127205 	201706 	309315 	412236 	515118 	857857 	902945 
T,HAZ_NHAZ,EP_HH,W06_07A,PT	201477 	0 	381387 	400407 	328487 	350060 	433461 
T,HAZ_NHAZ,EP_HH,W06_07A,RO	1197695 	2006755 	721234 	627223 	730087 	76975 	309093 
T,HAZ_NHAZ,EP_HH,W06_07A,RS	: 	: 	: 	0 	0 	17464 	32099 
T,HAZ_NHAZ,EP_HH,W06_07A,SE	1010056 	1062362 	1054745 	1004058 	932864 	1293977 	1325012 
T,HAZ_NHAZ,EP_HH,W06_07A,SI	49462 	71200 	71678 	100305 	94160 	97085 	106534 
T,HAZ_NHAZ,EP_HH,W06_07A,SK	0 	80331 	124245 	125426 	153298 	173192 	288164 
T,HAZ_NHAZ,EP_HH,W06_07A,TR	0 	0 	1897203 	: 	79649 	213555 	: 
T,HAZ_NHAZ,EP_HH,W06_07A,UK	3555486 	4292404 	4174687 	3778522 	3440219 	3309235 	3271300 
T,HAZ_NHAZ,EP_HH,W06_07A,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W077_08,AT	65978 	92858 	96216 	88985 	80573 	80803 	87115 
T,HAZ_NHAZ,EP_HH,W077_08,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W077_08,BE	212990 	228033 	215341 	259470 	263387 	261636 	263651 
T,HAZ_NHAZ,EP_HH,W077_08,BG	0 	0 	0 	127611 	102632 	97712 	159086 
T,HAZ_NHAZ,EP_HH,W077_08,CY	0 	3152 	8449 	13144 	11004 	10168 	8291 
T,HAZ_NHAZ,EP_HH,W077_08,CZ	15994 	7711 	2405 	1591 	1712 	1009 	407 
T,HAZ_NHAZ,EP_HH,W077_08,DE	311418 	286638 	401729 	524839 	544549 	516435 	551972 
T,HAZ_NHAZ,EP_HH,W077_08,DK	2259 	2060 	31844 	62018 	60155 	81994 	88269 
T,HAZ_NHAZ,EP_HH,W077_08,EE	7223 	11327 	16281 	14488 	17323 	17534 	16354 
T,HAZ_NHAZ,EP_HH,W077_08,EL	0 	0 	0 	44491 	36538 	44520 	90210 
T,HAZ_NHAZ,EP_HH,W077_08,ES	153893 	91389 	111876 	102295 	52573 	73541 	47989 
T,HAZ_NHAZ,EP_HH,W077_08,EU27_2020	1610000 	1700000 	1930000 	2840000 	2820000 	2820000 	3470000 
T,HAZ_NHAZ,EP_HH,W077_08,EU28	2240000 	2890000 	3130000 	3200000 	3150000 	3150000 	3840000 
T,HAZ_NHAZ,EP_HH,W077_08,FI	8529 	20522 	35855 	187700 	193880 	165068 	158453 
T,HAZ_NHAZ,EP_HH,W077_08,FR	9000 	36800 	94910 	228374 	222581 	231751 	789465 
T,HAZ_NHAZ,EP_HH,W077_08,HR	0 	3324 	0 	0 	42351 	35061 	40969 
T,HAZ_NHAZ,EP_HH,W077_08,HU	0 	0 	42537 	27940 	37400 	24487 	36690 
T,HAZ_NHAZ,EP_HH,W077_08,IE	15894 	602 	: 	81449 	80146 	92364 	64066 
T,HAZ_NHAZ,EP_HH,W077_08,IS	537 	: 	: 	3804 	5162 	7640 	10019 
T,HAZ_NHAZ,EP_HH,W077_08,IT	85397 	126268 	171698 	269374 	232739 	224185 	243791 
T,HAZ_NHAZ,EP_HH,W077_08,LI	: 	: 	0 	0 	170 	416 	747 
T,HAZ_NHAZ,EP_HH,W077_08,LT	8445 	8886 	21794 	32078 	40643 	52590 	37527 
T,HAZ_NHAZ,EP_HH,W077_08,LU	1518 	2625 	3815 	1439 	1667 	1102 	1834 
T,HAZ_NHAZ,EP_HH,W077_08,LV	0 	10260 	19593 	24331 	19438 	24324 	18060 
T,HAZ_NHAZ,EP_HH,W077_08,ME	: 	: 	: 	: 	0 	: 	83 
T,HAZ_NHAZ,EP_HH,W077_08,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W077_08,MT	4964 	2861 	3080 	6682 	12425 	5880 	6013 
T,HAZ_NHAZ,EP_HH,W077_08,NL	345875 	307193 	285007 	351388 	345463 	353016 	345252 
T,HAZ_NHAZ,EP_HH,W077_08,NO	213074 	136064 	141691 	126542 	188520 	229742 	217956 
T,HAZ_NHAZ,EP_HH,W077_08,PL	42 	472 	12210 	11442 	20320 	25183 	0 
T,HAZ_NHAZ,EP_HH,W077_08,PT	34 	0 	6766 	6251 	3504 	2360 	4185 
T,HAZ_NHAZ,EP_HH,W077_08,RO	0 	261 	17984 	23237 	20780 	29853 	41591 
T,HAZ_NHAZ,EP_HH,W077_08,RS	: 	: 	: 	0 	0 	9203 	1 
T,HAZ_NHAZ,EP_HH,W077_08,SE	351188 	452529 	309315 	324335 	346131 	348454 	352864 
T,HAZ_NHAZ,EP_HH,W077_08,SI	2442 	5833 	6692 	19853 	21540 	13795 	7386 
T,HAZ_NHAZ,EP_HH,W077_08,SK	0 	4044 	6781 	7254 	8192 	8009 	12018 
T,HAZ_NHAZ,EP_HH,W077_08,TR	0 	0 	296 	: 	: 	: 	: 
T,HAZ_NHAZ,EP_HH,W077_08,UK	632686 	1188995 	1203863 	356114 	325654 	323038 	368067 
T,HAZ_NHAZ,EP_HH,W077_08,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W09,AT	546300 	661300 	714900 	464120 	878231 	936360 	1018113 
T,HAZ_NHAZ,EP_HH,W09,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W09,BE	1191731 	934760 	960330 	1198636 	1098995 	963126 	796560 
T,HAZ_NHAZ,EP_HH,W09,BG	0 	0 	0 	0 	0 	34920 	141838 
T,HAZ_NHAZ,EP_HH,W09,CY	0 	0 	41310 	40741 	6780 	14602 	16032 
T,HAZ_NHAZ,EP_HH,W09,CZ	64363 	108723 	131785 	172197 	213617 	317704 	497448 
T,HAZ_NHAZ,EP_HH,W09,DE	4290273 	7676471 	8082615 	8494631 	9080387 	9654331 	9981055 
T,HAZ_NHAZ,EP_HH,W09,DK	52558 	38923 	36560 	497424 	605941 	652408 	684026 
T,HAZ_NHAZ,EP_HH,W09,EE	819 	1298 	10992 	8116 	15726 	9682 	11487 
T,HAZ_NHAZ,EP_HH,W09,EL	0 	0 	0 	0 	0 	0 	182017 
T,HAZ_NHAZ,EP_HH,W09,ES	12780 	10002 	403332 	558430 	547564 	539685 	596985 
T,HAZ_NHAZ,EP_HH,W09,EU27_2020	13880000 	18070000 	19770000 	22250000 	24000000 	26130000 	28310000 
T,HAZ_NHAZ,EP_HH,W09,EU28	16160000 	21310000 	23810000 	26550000 	28730000 	31140000 	33270000 
T,HAZ_NHAZ,EP_HH,W09,FI	64874 	95102 	178600 	168474 	165165 	222542 	261041 
T,HAZ_NHAZ,EP_HH,W09,FR	2619000 	2973800 	3364000 	3771278 	3703923 	3696763 	3806779 
T,HAZ_NHAZ,EP_HH,W09,HR	0 	0 	0 	0 	32343 	37302 	23398 
T,HAZ_NHAZ,EP_HH,W09,HU	102240 	45509 	55357 	103086 	4012 	529 	9796 
T,HAZ_NHAZ,EP_HH,W09,IE	470175 	538651 	: 	123626 	130550 	114820 	136568 
T,HAZ_NHAZ,EP_HH,W09,IS	11000 	: 	: 	11783 	13741 	21560 	10519 
T,HAZ_NHAZ,EP_HH,W09,IT	2218995 	2706793 	3326060 	4154330 	4773389 	5685442 	6468997 
T,HAZ_NHAZ,EP_HH,W09,LI	: 	: 	0 	0 	1 	7330 	6714 
T,HAZ_NHAZ,EP_HH,W09,LT	15315 	755 	22074 	4459 	2698 	13178 	46137 
T,HAZ_NHAZ,EP_HH,W09,LU	59488 	62538 	71298 	67700 	66065 	71818 	4801 
T,HAZ_NHAZ,EP_HH,W09,LV	0 	10466 	0 	5745 	85733 	16707 	0 
T,HAZ_NHAZ,EP_HH,W09,ME	: 	: 	: 	: 	0 	: 	14998 
T,HAZ_NHAZ,EP_HH,W09,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W09,MT	1876 	2283 	1697 	4442 	4416 	4999 	4405 
T,HAZ_NHAZ,EP_HH,W09,NL	1803333 	1703416 	1718126 	1707527 	1767074 	1805833 	1874490 
T,HAZ_NHAZ,EP_HH,W09,NO	242612 	271681 	312000 	334350 	347306 	340700 	342477 
T,HAZ_NHAZ,EP_HH,W09,PL	0 	0 	0 	84761 	104640 	494501 	728514 
T,HAZ_NHAZ,EP_HH,W09,PT	0 	0 	721 	28 	219 	2268 	420 
T,HAZ_NHAZ,EP_HH,W09,RO	0 	0 	36720 	27053 	29022 	15726 	37915 
T,HAZ_NHAZ,EP_HH,W09,RS	: 	: 	: 	0 	0 	87079 	40525 
T,HAZ_NHAZ,EP_HH,W09,SE	353300 	386011 	490144 	446940 	502000 	602313 	713697 
T,HAZ_NHAZ,EP_HH,W09,SI	12928 	25227 	42190 	52384 	85692 	97261 	110510 
T,HAZ_NHAZ,EP_HH,W09,SK	0 	78546 	88442 	95567 	98090 	125419 	157060 
T,HAZ_NHAZ,EP_HH,W09,TR	0 	0 	428162 	: 	: 	5506 	: 
T,HAZ_NHAZ,EP_HH,W09,UK	2279043 	3244433 	4035243 	4298545 	4727754 	5014394 	4959851 
T,HAZ_NHAZ,EP_HH,W09,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W10,AT	1631194 	1688157 	1643285 	1519578 	1667267 	1687166 	1683308 
T,HAZ_NHAZ,EP_HH,W10,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W10,BE	1807896 	1541481 	1681410 	2020011 	1543242 	1977703 	1915893 
T,HAZ_NHAZ,EP_HH,W10,BG	2633592 	2928981 	2907121 	2396337 	1911667 	2001525 	1618280 
T,HAZ_NHAZ,EP_HH,W10,CY	180738 	171276 	98259 	96533 	334151 	282592 	352556 
T,HAZ_NHAZ,EP_HH,W10,CZ	2497793 	2645958 	2665624 	2704811 	2532145 	2436082 	2530114 
T,HAZ_NHAZ,EP_HH,W10,DE	24060010 	18878223 	18525137 	18638974 	18172377 	18188484 	18326817 
T,HAZ_NHAZ,EP_HH,W10,DK	1481559 	1544669 	1556991 	2043025 	2020106 	1941734 	1891201 
T,HAZ_NHAZ,EP_HH,W10,EE	176259 	164789 	176151 	178761 	176665 	223082 	219168 
T,HAZ_NHAZ,EP_HH,W10,EL	4212962 	4088124 	3954486 	5153028 	4822625 	4463729 	4516077 
T,HAZ_NHAZ,EP_HH,W10,ES	20121000 	20401721 	20912109 	19883975 	18395381 	17501185 	18750797 
T,HAZ_NHAZ,EP_HH,W10,EU27_2020	129970000 	129340000 	128590000 	127750000 	120040000 	113420000 	114570000 
T,HAZ_NHAZ,EP_HH,W10,EU28	154430000 	152430000 	149760000 	146510000 	137930000 	131550000 	133250000 
T,HAZ_NHAZ,EP_HH,W10,FI	779609 	772587 	1063591 	862089 	961112 	918437 	1076158 
T,HAZ_NHAZ,EP_HH,W10,FR	19818000 	20441500 	19468000 	18042903 	17657408 	16639173 	16516350 
T,HAZ_NHAZ,EP_HH,W10,HR	0 	19 	0 	1163485 	1054213 	1010519 	994849 
T,HAZ_NHAZ,EP_HH,W10,HU	3764130 	2847370 	3020031 	2367376 	2197125 	2581736 	2686841 
T,HAZ_NHAZ,EP_HH,W10,IE	362993 	383785 	: 	1381217 	1315810 	1180762 	1163990 
T,HAZ_NHAZ,EP_HH,W10,IS	110000 	: 	: 	140906 	141209 	105185 	119687 
T,HAZ_NHAZ,EP_HH,W10,IT	24376698 	24464573 	22838700 	21423512 	18458498 	16796295 	15535099 
T,HAZ_NHAZ,EP_HH,W10,LI	: 	: 	0 	0 	3086 	8581 	8268 
T,HAZ_NHAZ,EP_HH,W10,LT	532435 	878686 	823888 	758993 	779935 	766807 	686568 
T,HAZ_NHAZ,EP_HH,W10,LU	133805 	104566 	146120 	118697 	119427 	119068 	152723 
T,HAZ_NHAZ,EP_HH,W10,LV	543490 	760355 	570285 	393390 	624712 	451640 	485664 
T,HAZ_NHAZ,EP_HH,W10,ME	: 	: 	: 	: 	0 	: 	193023 
T,HAZ_NHAZ,EP_HH,W10,MK	: 	: 	0 	451382 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W10,MT	122905 	120119 	129680 	125107 	108168 	113042 	128301 
T,HAZ_NHAZ,EP_HH,W10,NL	4687584 	4749681 	4695644 	4435946 	4251036 	3992427 	3959835 
T,HAZ_NHAZ,EP_HH,W10,NO	988175 	1154546 	1038106 	1036370 	1195930 	1091127 	1086746 
T,HAZ_NHAZ,EP_HH,W10,PL	6640830 	6683819 	6557769 	8381246 	8684119 	6862045 	7902060 
T,HAZ_NHAZ,EP_HH,W10,PT	4368010 	4641103 	5077433 	5054950 	4433715 	4355777 	4459196 
T,HAZ_NHAZ,EP_HH,W10,RO	2219666 	4111365 	5531405 	4473237 	3732914 	3513075 	3512367 
T,HAZ_NHAZ,EP_HH,W10,RS	: 	: 	: 	0 	0 	1515711 	1515636 
T,HAZ_NHAZ,EP_HH,W10,SE	2258951 	2330532 	2435894 	2159965 	2301423 	1675939 	1764836 
T,HAZ_NHAZ,EP_HH,W10,SI	558926 	563777 	577303 	516545 	404010 	340913 	326773 
T,HAZ_NHAZ,EP_HH,W10,SK	0 	1437106 	1533083 	1458095 	1382979 	1400856 	1413758 
T,HAZ_NHAZ,EP_HH,W10,TR	29224710 	30081820 	25273644 	29454911 	30542066 	30926535 	: 
T,HAZ_NHAZ,EP_HH,W10,UK	24461265 	23087586 	21166593 	18757580 	17886690 	18133185 	18679469 
T,HAZ_NHAZ,EP_HH,W10,XK	: 	: 	: 	: 	490045 	490045 	302741 
T,HAZ_NHAZ,EP_HH,W11,AT	0 	0 	0 	440 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W11,BE	0 	1275 	0 	0 	11499 	13678 	0 
T,HAZ_NHAZ,EP_HH,W11,BG	0 	0 	0 	0 	0 	3711 	0 
T,HAZ_NHAZ,EP_HH,W11,CY	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,CZ	18006 	10209 	1394 	1208 	2165 	1319 	2686 
T,HAZ_NHAZ,EP_HH,W11,DE	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,DK	456 	346 	894 	15451 	213 	247 	204 
T,HAZ_NHAZ,EP_HH,W11,EE	1449 	1906 	1532 	767 	71 	381 	215 
T,HAZ_NHAZ,EP_HH,W11,EL	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,ES	46556 	62891 	30511 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,EU27_2020	160000 	170000 	130000 	250000 	120000 	120000 	110000 
T,HAZ_NHAZ,EP_HH,W11,EU28	160000 	170000 	130000 	250000 	120000 	120000 	110000 
T,HAZ_NHAZ,EP_HH,W11,FI	0 	0 	0 	130309 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,FR	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,HR	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,HU	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,IE	0 	0 	: 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,IS	0 	: 	: 	0 	0 	37 	44 
T,HAZ_NHAZ,EP_HH,W11,IT	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,LI	: 	: 	0 	0 	8289 	0 	0 
